mine_id,injury_body_part,injury_classifiation,injury_count,injury_days_lost,injury_nature,injury_source
103285,Unclassified,No Injury,0,Nil Recorded,Unclassified,Unclassified
103285,Knee,Days away from work only,1,25,"Sprain, strains",Ground
103389,Jaw (inc. chin),Days of restricted activity only,1,0,"Cut, laceration, puncture","Metal NEC (pipe, wire, nails, manhole covers)"
103389,Wrist,"Injuries w/o death, days away, or restrict. act.",1,0,"Cut, laceration, puncture",Underground mining machines
103389,Finger(s),Days of restricted activity only,1,0,"Fracture, chip",Roof bolts
103413,Finger(s),"Injuries w/o death, days away, or restrict. act.",1,0,"Cut, laceration, puncture","Metal NEC (pipe, wire, nails, manhole covers)"
103419,Back,Days away from work only,1,5,"Contusion, bruise","Broken rock, coal, ore, waste"
103437,Knee,Days of restricted activity only,1,0,"Sprain, strains","Broken rock, coal, ore, waste"
103477,Shoulder(s),Days away from work only,1,165,"Sprain, strains","Highway ore carriers, other large trucks, buses"
103482,Knee,Days away AND restricted activity,1,9,"Sprain, strains","Highway ore carriers, other large trucks, buses"
103514,Body systems,"Occupational illness, (NOT 1-6)",1,3,"Heat stroke, sunstroke, heat cramps, etc.",Heat
103517,Finger(s),"Injuries w/o death, days away, or restrict. act.",1,0,Crushing,"Metal NEC (pipe, wire, nails, manhole covers)"
103517,Knee,Days away from work only,1,181,"Unclassified, not determined","Highway ore carriers, other large trucks, buses"
103529,Finger(s),Days away from work only,1,5,"Fracture, chip","Metal NEC (pipe, wire, nails, manhole covers)"
103529,Ankle,Days away from work only,1,193,"Fracture, chip",Ground
200001,Eye(s) (inc. optic nerve & vision),Days away from work only,1,1,"Scratches, abrasions (superficial wounds)",Pulverized mineral
200001,Eye(s) (inc. optic nerve & vision),"Injuries w/o death, days away, or restrict. act.",1,0,Dust in eyes,Pulverized mineral
200001,Unclassified,No Injury,0,Nil Recorded,Unclassified,Unclassified
200001,Hand,Days of restricted activity only,1,0,"Contusion, bruise","Axe, hammer, sledge"
200001,Finger(s),"Injuries w/o death, days away, or restrict. act.",1,0,"Cut, laceration, puncture","Brick, ceramic"
200001,Finger(s),Days of restricted activity only,1,0,"Cut, laceration, puncture","Metal NEC (pipe, wire, nails, manhole covers)"
200006,Ankle,Days away from work only,1,38,"Sprain, strains",Ground
200024,Back,Days of restricted activity only,1,0,"Sprain, strains","Chains, ropes, cables (not conveyor)"
200024,Back,Days of restricted activity only,1,0,"Contusion, bruise","Highway ore carriers, other large trucks, buses"
200024,Knee,All other cases (inc. 1st aid),1,0,"Sprain, strains",Bodily motion
200024,Upper arm,"Injuries w/o death, days away, or restrict. act.",1,0,Burn or scald (heat),Electrical apparatus NEC
200024,Back,Days of restricted activity only,1,0,"Sprain, strains","Highway ore carriers, other large trucks, buses"
200024,Knee,"Injuries w/o death, days away, or restrict. act.",1,0,"Cut, laceration, puncture",Metal covers and guards
200024,Knee,Days of restricted activity only,1,0,"Sprain, strains","Floor, walking surface"
200024,Neck,Days of restricted activity only,1,0,"Sprain, strains","Highway ore carriers, other large trucks, buses"
200024,Shoulder(s),Days away AND restricted activity,1,94,"Sprain, strains","Highway ore carriers, other large trucks, buses"
200024,Hips,Days of restricted activity only,1,0,"Contusion, bruise","Floor, walking surface"
200024,Finger(s),"Injuries w/o death, days away, or restrict. act.",1,0,"Cut, laceration, puncture",Knife
200024,Finger(s),"Injuries w/o death, days away, or restrict. act.",1,0,"Fracture, chip",Metal covers and guards
200024,Unclassified,Employee natural caused fatal & nonfatal injury,1,0,"Unclassified, not determined","Miscellaneous, NEC"
200024,Upper arm,Days away AND restricted activity,1,83,"Sprain, strains",Metal covers and guards
200024,Knee,Days away AND restricted activity,1,18,"Sprain, strains",Ground
200024,Ankle,Days of restricted activity only,1,0,"Sprain, strains","Highway ore carriers, other large trucks, buses"
200024,Thigh,Days away AND restricted activity,1,5,"Cut, laceration, puncture","Metal NEC (pipe, wire, nails, manhole covers)"
200024,Wrist,Days away AND restricted activity,1,28,"Fracture, chip",Ground
200024,Ankle,Days of restricted activity only,1,0,"Sprain, strains",Ground
200024,Back,"Injuries w/o death, days away, or restrict. act.",1,0,"Sprain, strains","Highway ore carriers, other large trucks, buses"
200024,"Head, NEC","Injuries w/o death, days away, or restrict. act.",1,0,"Cut, laceration, puncture",Ground
200024,Finger(s),Days of restricted activity only,1,0,"Other injury, NEC",Hand tools not powered NEC
200024,"Face, multiple parts","Occupational illness, (NOT 1-6)",1,0,Dermatitis,"Apparel NEC, Ring"
200024,Back,Days of restricted activity only,1,0,"Sprain, strains",Surface mining machines
200024,Ankle,Days of restricted activity only,1,0,"Sprain, strains",Ground
200024,Finger(s),"Permanent disability, partial or total",1,0,Amputation or enucleation,"Hand tools, powered NEC"
200024,Finger(s),Days of restricted activity only,1,0,"Cut, laceration, puncture","Crowbar, pry bar"
200024,Neck,Days of restricted activity only,1,0,"Contusion, bruise",Passenger cars and pickup trucks
200024,Hand,Days of restricted activity only,1,0,"Cut, laceration, puncture","Hand tools, powered NEC"
200024,Knee,Days away AND restricted activity,1,40,"Sprain, strains",Ground
200024,Lower leg,Days of restricted activity only,1,0,"Contusion, bruise",Wheels
200024,Back,Days of restricted activity only,1,0,"Sprain, strains","Highway ore carriers, other large trucks, buses"
200024,Finger(s),"Injuries w/o death, days away, or restrict. act.",1,0,"Cut, laceration, puncture",Knife
200024,Hips,Days away AND restricted activity,1,5,"Sprain, strains",Loose dirt & mud
200024,"Head, NEC","Injuries w/o death, days away, or restrict. act.",1,0,"Cut, laceration, puncture",Surface mining machines
200024,Upper arm,All other cases (inc. 1st aid),1,0,"Sprain, strains",Bags
200024,Ankle,Days of restricted activity only,1,0,"Sprain, strains",Ground
200024,Ankle,Days of restricted activity only,1,0,"Fracture, chip","Working surfaces outside, NEC"
200024,Elbow,Days of restricted activity only,1,0,"Sprain, strains","Broken rock, coal, ore, waste"
200024,Finger(s),Days of restricted activity only,1,0,"Fracture, chip",Metal covers and guards
200024,Abdomen,Days of restricted activity only,1,0,"Contusion, bruise","Milling, cleaning plant, & breaker machines"
200024,Shoulder(s),Days away AND restricted activity,1,162,"Sprain, strains","Conductors, electric cables and trolley poles"
200024,Back,Days of restricted activity only,1,0,"Contusion, bruise",Ground
200024,Back,Days of restricted activity only,1,0,"Sprain, strains","Nonpowered vehicles (dollies, wheelbarrow, etc.)"
200024,Ankle,Days of restricted activity only,1,0,"Sprain, strains",Ground
200024,Neck,"Occupational illness, (NOT 1-6)",1,0,Dermatitis,Storage tanks and bins
200024,Ear(s) internal (inc. hearing),"Injuries w/o death, days away, or restrict. act.",1,0,Hearing loss or impairment,Noise NEC
200024,Wrist,Days away AND restricted activity,1,29,"Sprain, strains",Ground
200024,Knee,Days of restricted activity only,1,0,"Sprain, strains",Bodily motion
200024,Knee,Days of restricted activity only,1,0,"Sprain, strains",Ground
200024,Wrist,Days away from work only,1,116,"Fracture, chip",Ground
200024,Knee,Days of restricted activity only,1,0,"Sprain, strains",Steps
200024,Shoulder(s),Days of restricted activity only,1,0,"Sprain, strains","Mine jeep, kersey, jitney (rail & nonrail), S&S tractor"
200024,Body systems,Days of restricted activity only,1,0,"Poisoning, systemic",Noxious mine gases NEC
200024,Body systems,"Occupational illness, (NOT 1-6)",1,0,"Heat stroke, sunstroke, heat cramps, etc.",Heat
200024,Body systems,"Injuries w/o death, days away, or restrict. act.",1,0,"Poisoning, systemic",Noxious mine gases NEC
200024,Knee,Days away AND restricted activity,1,31,"Sprain, strains",Ladders NEC
200024,Back,Days of restricted activity only,1,0,"Sprain, strains",Boilers
200024,Shoulder(s),Days away AND restricted activity,1,99,"Sprain, strains",Wrench
200024,Back,Days of restricted activity only,1,0,"Sprain, strains","Highway ore carriers, other large trucks, buses"
200024,Ear(s) external,"Injuries w/o death, days away, or restrict. act.",1,0,"Cut, laceration, puncture",Metal covers and guards
200024,Back,Days away from work only,1,234,"Sprain, strains","Highway ore carriers, other large trucks, buses"
200024,"Head, NEC","Injuries w/o death, days away, or restrict. act.",1,0,"Cut, laceration, puncture",Surface mining machines
